sku_id,week_start,type,value,baseline,ci_lower,ci_upper,step
SKU001,2024-07-01,actual,2.0,0.0,2.0,2.0,0
SKU001,2024-07-08,actual,7.0,2.0,7.0,7.0,0
SKU001,2024-07-15,actual,11.0,4.5,11.0,11.0,0
SKU001,2024-07-22,actual,10.0,6.666666666666667,10.0,10.0,0
SKU001,2024-07-29,actual,12.0,7.5,12.0,12.0,0
SKU001,2024-08-05,actual,10.0,10.0,10.0,10.0,0
SKU001,2024-08-12,actual,20.0,10.75,20.0,20.0,0
SKU001,2024-08-19,actual,8.0,13.0,8.0,8.0,0
SKU001,2024-08-26,actual,13.0,12.5,13.0,13.0,0
SKU001,2024-09-02,actual,17.0,12.75,17.0,17.0,0
SKU001,2024-09-09,actual,7.0,14.5,7.0,7.0,0
SKU001,2024-09-16,actual,17.0,11.25,17.0,17.0,0
SKU001,2024-09-23,actual,14.0,13.5,14.0,14.0,0
SKU001,2024-09-30,actual,9.0,13.75,9.0,9.0,0
SKU001,2024-10-07,actual,14.0,11.75,14.0,14.0,0
SKU001,2024-10-14,actual,19.0,13.5,19.0,19.0,0
SKU001,2024-10-21,actual,22.0,14.0,22.0,22.0,0
SKU001,2024-10-28,actual,6.0,16.0,6.0,6.0,0
SKU001,2024-11-04,actual,24.0,15.25,24.0,24.0,0
SKU001,2024-11-11,actual,8.0,17.75,8.0,8.0,0
SKU001,2024-11-18,actual,19.0,15.0,19.0,19.0,0
SKU001,2024-11-25,actual,6.0,14.25,6.0,6.0,0
SKU001,2024-12-02,actual,7.0,14.25,7.0,7.0,0
SKU001,2024-12-09,actual,7.0,10.0,7.0,7.0,0
SKU001,2024-12-16,actual,10.0,9.75,10.0,10.0,0
SKU001,2024-12-23,actual,18.0,7.5,18.0,18.0,0
SKU001,2024-12-30,actual,10.0,10.5,10.0,10.0,0
SKU001,2025-01-06,actual,8.0,11.25,8.0,8.0,0
SKU001,2025-01-13,actual,11.0,11.5,11.0,11.0,0
SKU001,2025-01-20,actual,7.0,11.75,7.0,7.0,0
SKU001,2025-01-27,actual,8.0,9.0,8.0,8.0,0
SKU001,2025-02-03,actual,11.0,8.5,11.0,11.0,0
SKU001,2025-02-10,actual,8.0,9.25,8.0,8.0,0
SKU001,2025-02-17,actual,8.0,8.5,8.0,8.0,0
SKU001,2025-02-24,actual,8.0,8.75,8.0,8.0,0
SKU001,2025-03-03,actual,9.0,8.75,9.0,9.0,0
SKU001,2025-03-10,actual,6.0,8.25,6.0,6.0,0
SKU001,2025-03-17,actual,12.0,7.75,12.0,12.0,0
SKU001,2025-03-24,actual,10.0,8.75,10.0,10.0,0
SKU001,2025-03-31,actual,9.0,9.25,9.0,9.0,0
SKU001,2025-04-07,actual,4.0,9.25,4.0,4.0,0
SKU001,2025-04-14,actual,10.0,8.75,10.0,10.0,0
SKU001,2025-04-21,actual,8.0,8.25,8.0,8.0,0
SKU001,2025-04-28,actual,9.0,7.75,9.0,9.0,0
SKU001,2025-05-05,actual,13.0,7.75,13.0,13.0,0
SKU001,2025-05-12,actual,5.0,10.0,5.0,5.0,0
SKU001,2025-05-19,actual,6.0,8.75,6.0,6.0,0
SKU001,2025-05-26,actual,9.0,8.25,9.0,9.0,0
SKU001,2025-06-02,actual,7.0,8.25,7.0,7.0,0
SKU001,2025-06-09,actual,7.0,6.75,7.0,7.0,0
SKU001,2025-06-16,actual,7.0,7.25,7.0,7.0,0
SKU001,2025-06-23,actual,6.0,7.5,6.0,6.0,0
SKU001,2025-06-30,actual,10.0,2.0,10.0,10.0,0
SKU001,2025-07-07,actual,6.0,7.0,6.0,6.0,0
SKU001,2025-07-14,actual,5.0,11.0,5.0,5.0,0
SKU001,2025-07-21,actual,15.0,10.0,15.0,15.0,0
SKU001,2025-07-28,actual,10.0,12.0,10.0,10.0,0
SKU001,2025-08-04,actual,10.0,10.0,10.0,10.0,0
SKU001,2025-08-11,actual,20.0,20.0,20.0,20.0,0
SKU001,2025-08-18,actual,8.0,8.0,8.0,8.0,0
SKU001,2025-08-25,actual,10.0,13.0,10.0,10.0,0
SKU001,2025-09-01,actual,17.0,17.0,17.0,17.0,0
SKU001,2025-09-08,actual,19.0,7.0,19.0,19.0,0
SKU001,2025-09-15,actual,22.0,17.0,22.0,22.0,0
SKU001,2025-09-22,actual,15.0,14.0,15.0,15.0,0
SKU001,2025-09-29,actual,15.0,9.0,15.0,15.0,0
SKU001,2025-10-06,actual,13.0,14.0,13.0,13.0,0
SKU001,2025-10-13,actual,9.0,19.0,9.0,9.0,0
SKU001,2025-10-20,actual,17.0,22.0,17.0,17.0,0
SKU001,2025-10-27,actual,6.0,6.0,6.0,6.0,0
SKU001,2025-11-03,actual,16.0,24.0,16.0,16.0,0
SKU001,2025-11-10,actual,11.0,8.0,11.0,11.0,0
SKU001,2025-11-17,actual,12.0,19.0,12.0,12.0,0
SKU001,2025-11-24,actual,14.0,6.0,14.0,14.0,0
SKU001,2025-12-01,actual,10.0,7.0,10.0,10.0,0
SKU001,2025-12-08,actual,11.0,7.0,11.0,11.0,0
SKU001,2025-12-15,actual,9.0,10.0,9.0,9.0,0
SKU001,2025-12-22,actual,18.0,18.0,18.0,18.0,0
SKU001,2025-12-29,actual,13.0,10.0,13.0,13.0,0
SKU001,2026-01-05,actual,11.0,8.0,11.0,11.0,0
SKU001,2026-01-12,actual,14.0,11.0,14.0,14.0,0
SKU001,2026-01-19,actual,11.0,7.0,11.0,11.0,0
SKU001,2026-01-26,actual,11.0,8.0,11.0,11.0,0
SKU001,2026-02-02,actual,9.0,11.0,9.0,9.0,0
SKU001,2026-02-09,actual,13.0,8.0,13.0,13.0,0
SKU001,2026-02-16,actual,9.0,8.0,9.0,9.0,0
SKU001,2026-02-23,actual,10.0,8.0,10.0,10.0,0
SKU001,2026-03-02,actual,10.0,9.0,10.0,10.0,0
SKU001,2026-03-09,actual,10.0,6.0,10.0,10.0,0
SKU001,2026-03-16,actual,9.0,12.0,9.0,9.0,0
SKU001,2026-03-23,actual,7.0,10.0,7.0,7.0,0
SKU001,2026-03-30,actual,4.0,9.0,4.0,4.0,0
SKU001,2026-04-06,actual,5.0,4.0,5.0,5.0,0
SKU001,2026-04-13,actual,8.0,10.0,8.0,8.0,0
SKU001,2026-04-20,actual,4.0,8.0,4.0,4.0,0
SKU001,2026-04-27,actual,9.0,9.0,9.0,9.0,0
SKU001,2026-05-04,actual,12.0,13.0,12.0,12.0,0
SKU001,2026-05-11,actual,6.0,5.0,6.0,6.0,0
SKU001,2026-05-18,actual,9.0,6.0,9.0,9.0,0
SKU001,2026-05-25,actual,6.0,9.0,6.0,6.0,0
SKU001,2026-06-01,actual,5.0,7.0,5.0,5.0,0
SKU001,2026-06-08,actual,8.0,7.0,8.0,8.0,0
SKU001,2026-06-15,actual,9.0,7.0,9.0,9.0,0
SKU002,2025-01-20,actual,22.0,0.0,22.0,22.0,0
SKU002,2025-01-27,actual,22.0,22.0,22.0,22.0,0
SKU002,2025-02-03,actual,22.0,22.0,22.0,22.0,0
SKU002,2025-02-10,actual,15.0,22.0,15.0,15.0,0
SKU002,2025-02-17,actual,23.0,20.25,23.0,23.0,0
SKU002,2025-02-24,actual,15.0,20.5,15.0,15.0,0
SKU002,2025-03-03,actual,18.0,18.75,18.0,18.0,0
SKU002,2025-03-10,actual,26.0,17.75,26.0,26.0,0
SKU002,2025-03-17,actual,22.0,20.5,22.0,22.0,0
SKU002,2025-03-24,actual,16.0,20.25,16.0,16.0,0
SKU002,2025-03-31,actual,11.0,20.5,11.0,11.0,0
SKU002,2025-04-07,actual,17.0,18.75,17.0,17.0,0
SKU002,2025-04-14,actual,13.0,16.5,13.0,13.0,0
SKU002,2025-04-21,actual,14.0,14.25,14.0,14.0,0
SKU002,2025-04-28,actual,23.0,13.75,23.0,23.0,0
SKU002,2025-05-05,actual,13.0,16.75,13.0,13.0,0
SKU002,2025-05-12,actual,14.0,15.75,14.0,14.0,0
SKU002,2025-05-19,actual,15.0,16.0,15.0,15.0,0
SKU002,2025-05-26,actual,12.0,16.25,12.0,12.0,0
SKU002,2025-06-02,actual,9.0,13.5,9.0,9.0,0
SKU002,2025-06-09,actual,9.0,12.5,9.0,9.0,0
SKU002,2025-06-16,actual,9.0,11.25,9.0,9.0,0
SKU002,2025-06-23,actual,14.0,9.75,14.0,14.0,0
SKU002,2025-06-30,actual,16.0,10.25,16.0,16.0,0
SKU002,2025-07-07,actual,8.0,12.0,8.0,8.0,0
SKU002,2025-07-14,actual,8.0,11.75,8.0,8.0,0
SKU002,2025-07-21,actual,10.0,11.5,10.0,10.0,0
SKU002,2025-07-28,actual,10.0,10.5,10.0,10.0,0
SKU002,2025-08-04,actual,12.0,9.0,12.0,12.0,0
SKU002,2025-08-11,actual,28.0,10.0,28.0,28.0,0
SKU002,2025-08-18,actual,10.0,15.0,10.0,10.0,0
SKU002,2025-08-25,actual,10.0,15.0,10.0,10.0,0
SKU002,2025-09-01,actual,13.0,15.0,13.0,13.0,0
SKU002,2025-09-08,actual,11.0,15.25,11.0,11.0,0
SKU002,2025-09-15,actual,14.0,11.0,14.0,14.0,0
SKU002,2025-09-22,actual,20.0,12.0,20.0,20.0,0
SKU002,2025-09-29,actual,22.0,14.5,22.0,22.0,0
SKU002,2025-10-06,actual,16.0,16.75,16.0,16.0,0
SKU002,2025-10-13,actual,16.0,18.0,16.0,16.0,0
SKU002,2025-10-20,actual,31.0,18.5,31.0,31.0,0
SKU002,2025-10-27,actual,16.0,21.25,16.0,16.0,0
SKU002,2025-11-03,actual,15.0,19.75,15.0,15.0,0
SKU002,2025-11-10,actual,13.0,19.5,13.0,13.0,0
SKU002,2025-11-17,actual,15.0,18.75,15.0,15.0,0
SKU002,2025-11-24,actual,18.0,14.75,18.0,18.0,0
SKU002,2025-12-01,actual,20.0,15.25,20.0,20.0,0
SKU002,2025-12-08,actual,27.0,16.5,27.0,27.0,0
SKU002,2025-12-15,actual,19.0,20.0,19.0,19.0,0
SKU002,2025-12-22,actual,38.0,21.0,38.0,38.0,0
SKU002,2025-12-29,actual,24.0,26.0,24.0,24.0,0
SKU002,2026-01-05,actual,18.0,27.0,18.0,18.0,0
SKU002,2026-01-12,actual,33.0,24.75,33.0,33.0,0
SKU002,2026-01-19,actual,24.0,22.0,24.0,24.0,0
SKU002,2026-01-26,actual,21.0,22.0,21.0,21.0,0
SKU002,2026-02-02,actual,16.0,22.0,16.0,16.0,0
SKU002,2026-02-09,actual,16.0,15.0,16.0,16.0,0
SKU002,2026-02-16,actual,18.0,23.0,18.0,18.0,0
SKU002,2026-02-23,actual,18.0,15.0,18.0,18.0,0
SKU002,2026-03-02,actual,17.0,18.0,17.0,17.0,0
SKU002,2026-03-09,actual,16.0,26.0,16.0,16.0,0
SKU002,2026-03-16,actual,23.0,22.0,23.0,23.0,0
SKU002,2026-03-23,actual,25.0,16.0,25.0,25.0,0
SKU002,2026-03-30,actual,22.0,11.0,22.0,22.0,0
SKU002,2026-04-06,actual,24.0,17.0,24.0,24.0,0
SKU002,2026-04-13,actual,24.0,13.0,24.0,24.0,0
SKU002,2026-04-20,actual,18.0,14.0,18.0,18.0,0
SKU002,2026-04-27,actual,16.0,23.0,16.0,16.0,0
SKU002,2026-05-04,actual,15.0,13.0,15.0,15.0,0
SKU002,2026-05-11,actual,19.0,14.0,19.0,19.0,0
SKU002,2026-05-18,actual,14.0,15.0,14.0,14.0,0
SKU002,2026-05-25,actual,15.0,12.0,15.0,15.0,0
SKU002,2026-06-01,actual,7.0,9.0,7.0,7.0,0
SKU002,2026-06-08,actual,14.0,9.0,14.0,14.0,0
SKU002,2026-06-15,actual,9.0,9.0,9.0,9.0,0
SKU003,2024-08-26,actual,1.0,0.0,1.0,1.0,0
SKU003,2024-09-02,actual,2.0,1.0,2.0,2.0,0
SKU003,2024-09-09,actual,1.0,1.5,1.0,1.0,0
SKU003,2024-09-16,actual,4.0,1.3333333333333333,4.0,4.0,0
SKU003,2024-09-23,actual,5.0,2.0,5.0,5.0,0
SKU003,2024-09-30,actual,1.0,3.0,1.0,1.0,0
SKU003,2024-10-07,actual,1.0,2.75,1.0,1.0,0
SKU003,2024-10-14,actual,2.0,2.75,2.0,2.0,0
SKU003,2024-10-21,actual,10.0,2.25,10.0,10.0,0
SKU003,2024-10-28,actual,6.0,3.5,6.0,6.0,0
SKU003,2024-11-04,actual,3.0,4.75,3.0,3.0,0
SKU003,2024-11-11,actual,8.0,5.25,8.0,8.0,0
SKU003,2024-11-18,actual,1.0,6.75,1.0,1.0,0
SKU003,2024-11-25,actual,4.0,4.5,4.0,4.0,0
SKU003,2024-12-02,actual,5.0,4.0,5.0,5.0,0
SKU003,2024-12-09,actual,4.0,4.5,4.0,4.0,0
SKU003,2024-12-16,actual,3.0,3.5,3.0,3.0,0
SKU003,2024-12-23,actual,8.0,4.0,8.0,8.0,0
SKU003,2024-12-30,actual,8.0,5.0,8.0,8.0,0
SKU003,2025-01-06,actual,2.0,5.75,2.0,2.0,0
SKU003,2025-01-13,actual,2.0,5.25,2.0,2.0,0
SKU003,2025-01-20,actual,6.0,5.0,6.0,6.0,0
SKU003,2025-01-27,actual,5.0,4.5,5.0,5.0,0
SKU003,2025-02-03,actual,5.0,3.75,5.0,5.0,0
SKU003,2025-02-10,actual,5.0,4.5,5.0,5.0,0
SKU003,2025-02-17,actual,8.0,5.25,8.0,8.0,0
SKU003,2025-02-24,actual,3.0,5.75,3.0,3.0,0
SKU003,2025-03-03,actual,5.0,5.25,5.0,5.0,0
SKU003,2025-03-10,actual,4.0,5.25,4.0,4.0,0
SKU003,2025-03-17,actual,1.0,5.0,1.0,1.0,0
SKU003,2025-03-24,actual,6.0,3.25,6.0,6.0,0
SKU003,2025-03-31,actual,6.0,4.0,6.0,6.0,0
SKU003,2025-04-07,actual,5.0,4.25,5.0,5.0,0
SKU003,2025-04-14,actual,3.0,4.5,3.0,3.0,0
SKU003,2025-04-21,actual,2.0,5.0,2.0,2.0,0
SKU003,2025-04-28,actual,9.0,4.0,9.0,9.0,0
SKU003,2025-05-05,actual,4.0,4.75,4.0,4.0,0
SKU003,2025-05-12,actual,9.0,4.5,9.0,9.0,0
SKU003,2025-05-19,actual,3.0,6.0,3.0,3.0,0
SKU003,2025-05-26,actual,5.0,6.25,5.0,5.0,0
SKU003,2025-06-02,actual,6.0,5.25,6.0,6.0,0
