sku_id,category,subcategory,launch_date,unit_cost,list_price
SKU001,Bed & Bath,Duvets,2024-07-07,1756.33,3739.0
SKU002,Furnishings,Throws,2025-01-24,276.37,559.0
SKU003,Home Decor,Wall Art,2024-08-30,1208.36,2769.0
SKU004,Bed & Bath,Towels,2025-07-13,1368.61,3209.0
SKU005,Bed & Bath,Pillows,2025-05-02,323.33,599.0
SKU006,Furnishings,Cushions,2026-02-07,1637.23,3169.0
SKU007,Furnishings,Throws,2023-12-13,1258.14,2739.0
SKU008,Bed & Bath,Duvets,2024-03-19,1490.6,2749.0
SKU009,Home Decor,Mirrors,2026-02-01,742.37,1619.0
SKU010,Home Decor,Mirrors,2025-02-15,143.82,369.0
SKU011,Home Decor,Vases,2023-11-25,438.48,839.0
SKU012,Home Decor,Candles,2024-03-05,734.51,1589.0
SKU013,Home Decor,Wall Art,2025-02-14,1758.69,3919.0
SKU014,Furnishings,Cushions,2024-11-14,1442.37,2949.0
SKU015,Bed & Bath,Sheets,2025-12-18,268.84,659.0
SKU016,Furnishings,Throws,2024-06-12,1189.72,2259.0
SKU017,Bed & Bath,Towels,2024-06-24,596.09,1369.0
SKU018,Kitchenware,Cookware,2023-12-08,625.76,1569.0
SKU019,Home Decor,Mirrors,2024-10-20,2641.38,4869.0
SKU020,Bed & Bath,Sheets,2024-03-08,794.88,2229.0
SKU021,Kitchenware,Cookware,2023-11-29,1963.77,4929.0
SKU022,Home Decor,Mirrors,2025-10-21,1113.32,2169.0
SKU023,Kitchenware,Storage,2024-10-19,1229.19,3479.0
SKU024,Furnishings,Cushions,2024-11-26,396.88,949.0
SKU025,Kitchenware,Small Appliances,2024-08-19,611.46,1119.0
SKU026,Home Decor,Candles,2026-01-19,2230.49,4279.0
SKU027,Bed & Bath,Sheets,2025-07-30,2129.74,4519.0
SKU028,Kitchenware,Tableware,2025-10-04,1322.28,2409.0
SKU029,Furnishings,Throws,2024-06-12,1877.42,3799.0
SKU030,Kitchenware,Tableware,2025-06-04,1135.55,2149.0
SKU031,Home Decor,Mirrors,2023-12-19,1726.33,4359.0
SKU032,Home Decor,Vases,2024-11-02,197.66,369.0
