sku_id,category,subcategory,on_hand_units,on_order_units,lead_time_days,reorder_point,lead_time_demand,projected_stock,forward_demand,stockout_risk,overstock_risk,quadrant,recommended_action,rupee_impact,impact_type,list_price,unit_cost
SKU001,Bed & Bath,Duvets,5,11,7,13,8.95,7.05,79.32,0.7288461538461538,0.02101193477895445,REORDER NOW,Raise a replenishment order immediately.,22247.05,revenue_at_risk,3739.0,1756.33
SKU002,Furnishings,Throws,133,0,28,58,44.29,88.71,94.32,0.23525862068965508,0.47003109980209223,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,559.0,276.37
SKU003,Home Decor,Wall Art,6,6,7,9,5.06,6.94,30.41,0.6144444444444445,0.06576783952647156,REORDER NOW,Raise a replenishment order immediately.,5704.14,revenue_at_risk,2769.0,1208.36
SKU004,Bed & Bath,Towels,87,0,7,44,21.44,65.56,235.03,0.255,0.1233885035952857,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,3209.0,1368.61
SKU005,Bed & Bath,Pillows,94,0,21,22,20.53,73.47,63.6,0.0,0.49266247379454925,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,599.0,323.33
SKU006,Furnishings,Cushions,776,0,21,147,97.26,678.74,275.28,0.0,0.9396493267461008,MARKDOWN / CLEAR,Promote or discount to free up locked capital.,819793.81,locked_capital,3169.0,1637.23
SKU007,Furnishings,Throws,70,0,21,27,21.52,48.48,63.81,0.10222222222222216,0.36566891291856035,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,2739.0,1258.14
SKU008,Bed & Bath,Duvets,63,0,7,13,7.79,55.21,74.15,0.0,0.2832097100472016,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,2749.0,1490.6
SKU009,Home Decor,Mirrors,112,0,21,44,24.62,87.38,68.45,0.007045454545454577,0.5454102751400048,MARKDOWN / CLEAR,Promote or discount to free up locked capital.,32330.21,locked_capital,1619.0,742.37
SKU010,Home Decor,Mirrors,35,0,28,79,61.63,-26.63,117.96,1.0,0.09890358313552618,REORDER NOW,Raise a replenishment order immediately.,38977.47,revenue_at_risk,369.0,143.82
SKU011,Home Decor,Vases,28,0,7,14,8.76,19.24,75.29,0.3128571428571428,0.12396511267543275,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,839.0,438.48
SKU012,Home Decor,Candles,79,0,7,16,10.3,68.7,96.85,0.0,0.27189812424711757,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,1589.0,734.51
SKU013,Home Decor,Wall Art,162,0,28,57,45.6,116.4,98.19,0.0,0.5499541704857929,MARKDOWN / CLEAR,Promote or discount to free up locked capital.,112222.01,locked_capital,3919.0,1758.69
SKU014,Furnishings,Cushions,123,0,21,64,51.46,71.54,132.46,0.44109375000000006,0.3095274044994715,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,2949.0,1442.37
SKU015,Bed & Bath,Sheets,12,93,28,87,51.79,53.21,89.77,0.6941954022988506,0.044558315695666706,REORDER NOW,Raise a replenishment order immediately.,22267.61,revenue_at_risk,659.0,268.84
SKU016,Furnishings,Throws,429,0,28,168,137.48,291.52,301.32,0.13238095238095243,0.47457852117350324,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,2259.0,1189.72
SKU017,Bed & Bath,Towels,60,0,14,25,17.52,42.48,71.24,0.15039999999999992,0.2807411566535654,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,1369.0,596.09
SKU018,Kitchenware,Cookware,32,0,14,18,18.53,13.47,73.49,0.6258333333333334,0.14514446409942394,REORDER NOW,Raise a replenishment order immediately.,7107.57,revenue_at_risk,1569.0,625.76
SKU019,Home Decor,Mirrors,188,0,14,91,52.17,135.83,215.28,0.25368131868131877,0.29109376935463893,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,4869.0,2641.38
SKU020,Bed & Bath,Sheets,564,0,28,202,147.13,416.87,289.71,0.0,0.6489247868558213,MARKDOWN / CLEAR,Promote or discount to free up locked capital.,218027.64,locked_capital,2229.0,794.88
SKU021,Kitchenware,Cookware,223,0,21,45,34.02,188.98,96.24,0.0,0.7723746190080354,MARKDOWN / CLEAR,Promote or discount to free up locked capital.,248927.49,locked_capital,4929.0,1963.77
SKU022,Home Decor,Mirrors,164,0,28,61,39.31,124.69,74.52,0.0,0.733583825371265,MARKDOWN / CLEAR,Promote or discount to free up locked capital.,99619.87,locked_capital,2169.0,1113.32
SKU023,Kitchenware,Storage,89,0,7,36,20.83,68.17,153.33,0.05319444444444443,0.1934824670101524,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,3479.0,1229.19
SKU024,Furnishings,Cushions,84,0,21,29,23.77,60.23,70.44,0.0,0.39750141964792735,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,949.0,396.88
SKU025,Kitchenware,Small Appliances,59,0,7,33,17.26,41.74,138.3,0.36757575757575767,0.14220294046758256,HEALTHY,No action needed; inventory levels are optimal.,0.0,none,1119.0,611.46
SKU026,Home Decor,Candles,37,0,14,90,60.92,-23.92,264.76,1.0,0.046583068942942035,REORDER NOW,Raise a replenishment order immediately.,487463.68,revenue_at_risk,4279.0,2230.49
