InvoiceDate,StockCode,units_sold,revenue,n_invoices,units_roll_7,revenue_roll_7,units_roll_14,revenue_roll_14,units_roll_30,revenue_roll_30,units_lag_1,units_lag_7,units_lag_14,day_of_week,day_of_month,month,quarter,is_weekend,is_dec
2023-02-06,SKU10000,6,61.8,1,6.0,61.8,6.0,61.8,6.0,61.8,,,,0,6,2,1,0,0
2023-02-18,SKU10000,6,61.8,1,6.0,61.8,6.0,61.8,6.0,61.8,6.0,,,5,18,2,1,1,0
2023-03-01,SKU10000,3,30.9,1,5.0,51.5,5.0,51.5,5.0,51.5,6.0,,,2,1,3,1,0,0
2023-03-05,SKU10000,1,10.3,1,4.0,41.2,4.0,41.2,4.0,41.2,3.0,,,6,5,3,1,1,0
2023-03-09,SKU10000,4,41.2,1,4.0,41.2,4.0,41.2,4.0,41.2,1.0,,,3,9,3,1,0,0
2023-03-15,SKU10000,4,41.2,2,4.0,41.2,4.0,41.2,4.0,41.2,4.0,,,2,15,3,1,0,0
2023-03-18,SKU10000,6,61.8,1,4.29,44.14,4.29,44.14,4.29,44.14,4.0,,,5,18,3,1,1,0
2023-03-22,SKU10000,7,72.1,2,4.43,45.61,4.62,47.64,4.62,47.64,6.0,6.0,,2,22,3,1,0,0
2023-03-24,SKU10000,1,10.3,1,3.71,38.26,4.22,43.49,4.22,43.49,7.0,6.0,,4,24,3,1,0,0
2023-03-25,SKU10000,4,41.2,2,3.86,39.73,4.2,43.26,4.2,43.26,1.0,3.0,,5,25,3,1,1,0
2023-03-28,SKU10000,5,51.5,1,4.43,45.61,4.27,44.01,4.27,44.01,4.0,1.0,,1,28,3,1,0,0
2023-03-31,SKU10000,2,20.6,1,4.14,42.67,4.08,42.06,4.08,42.06,5.0,4.0,,4,31,3,1,0,0
2023-04-01,SKU10000,6,61.8,1,4.43,45.61,4.23,43.58,4.23,43.58,2.0,4.0,,5,1,4,2,1,0
2023-04-03,SKU10000,10,103.0,1,5.0,51.5,4.64,47.82,4.64,47.82,6.0,6.0,,0,3,4,2,0,0
2023-04-07,SKU10000,3,30.900000000000002,2,4.43,45.61,4.43,45.61,4.53,46.69,10.0,7.0,6.0,4,7,4,2,0,0
2023-04-08,SKU10000,4,41.2,1,4.86,50.03,4.29,44.14,4.5,46.35,3.0,1.0,6.0,5,8,4,2,1,0
2023-04-14,SKU10000,2,20.6,1,4.57,47.09,4.21,43.41,4.35,44.84,4.0,4.0,3.0,4,14,4,2,0,0
2023-04-16,SKU10000,5,51.5,1,4.57,47.09,4.5,46.35,4.39,45.21,2.0,5.0,1.0,6,16,4,2,1,0
2023-04-17,SKU10000,5,51.5,3,5.0,51.5,4.57,47.09,4.42,45.54,5.0,2.0,4.0,0,17,4,2,0,0
2023-04-20,SKU10000,1,10.3,1,4.29,44.14,4.36,44.88,4.25,43.78,5.0,6.0,4.0,3,20,4,2,0,0
2023-04-22,SKU10000,4,41.2,2,3.43,35.31,4.21,43.41,4.24,43.65,1.0,10.0,6.0,5,22,4,2,1,0
2023-04-24,SKU10000,6,61.8,3,3.86,39.73,4.14,42.67,4.32,44.48,4.0,3.0,7.0,0,24,4,2,0,0
2023-04-25,SKU10000,1,10.3,1,3.43,35.31,4.14,42.67,4.17,42.99,6.0,4.0,1.0,1,25,4,2,0,0
2023-04-26,SKU10000,2,20.6,2,3.43,35.31,4.0,41.2,4.08,42.06,1.0,2.0,4.0,2,26,4,2,0,0
2023-04-27,SKU10000,4,41.2,1,3.29,33.84,3.93,40.46,4.08,42.02,2.0,5.0,5.0,3,27,4,2,0,0
2023-04-30,SKU10000,3,30.9,1,3.0,30.9,4.0,41.2,4.04,41.6,4.0,5.0,2.0,6,30,4,2,1,0
2023-05-01,SKU10000,9,92.7,4,4.14,42.67,4.21,43.41,4.22,43.49,3.0,1.0,6.0,0,1,5,2,0,0
2023-05-03,SKU10000,8,82.4,3,4.71,48.56,4.07,41.94,4.36,44.88,9.0,4.0,10.0,2,3,5,2,0,0
2023-05-06,SKU10000,65,669.5,1,13.14,135.37,8.5,87.55,6.45,66.42,8.0,6.0,3.0,5,6,5,2,1,0
2023-05-07,SKU10000,3,29.36,2,13.43,138.09,8.43,86.7,6.33,65.18,65.0,1.0,4.0,6,7,5,2,1,0
