date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2026-06-21,SKU001,5,11,7,13
2026-06-21,SKU002,133,0,28,58
2026-06-21,SKU003,6,6,7,9
2026-06-21,SKU004,87,0,7,44
2026-06-21,SKU005,94,0,21,22
2026-06-21,SKU006,776,0,21,147
2026-06-21,SKU007,70,0,21,27
2026-06-21,SKU008,63,0,7,13
2026-06-21,SKU009,112,0,21,44
2026-06-21,SKU010,35,0,28,79
2026-06-21,SKU011,28,0,7,14
2026-06-21,SKU012,79,0,7,16
2026-06-21,SKU013,162,0,28,57
2026-06-21,SKU014,123,0,21,64
2026-06-21,SKU015,12,93,28,87
2026-06-21,SKU016,429,0,28,168
2026-06-21,SKU017,60,0,14,25
2026-06-21,SKU018,32,0,14,18
2026-06-21,SKU019,188,0,14,91
2026-06-21,SKU020,564,0,28,202
2026-06-21,SKU021,223,0,21,45
2026-06-21,SKU022,164,0,28,61
2026-06-21,SKU023,89,0,7,36
2026-06-21,SKU024,84,0,21,29
2026-06-21,SKU025,59,0,7,33
2026-06-21,SKU026,37,0,14,90
2026-06-21,SKU027,11,0,7,45
2026-06-21,SKU028,90,0,14,52
2026-06-21,SKU029,10,0,7,14
2026-06-21,SKU030,60,0,14,33
2026-06-21,SKU031,88,0,21,43
2026-06-21,SKU032,74,0,7,36
2026-06-21,SKU033,234,0,28,54
2026-06-21,SKU034,19,35,21,35
2026-06-21,SKU035,41,0,7,16
2026-06-21,SKU036,14,32,21,27
2026-06-21,SKU037,160,0,21,72
2026-06-21,SKU038,370,0,28,51
2026-06-21,SKU039,12,31,14,30
2026-06-21,SKU040,69,0,7,40
2026-06-21,SKU041,21,0,7,14
2026-06-21,SKU042,368,0,14,124
2026-06-21,SKU043,439,0,28,178
2026-06-21,SKU044,90,0,14,36
2026-06-21,SKU045,33,0,7,19
2026-06-21,SKU046,191,0,21,81
2026-06-21,SKU047,17,0,21,37
2026-06-21,SKU048,469,0,21,170
2026-06-21,SKU049,25,39,14,36
2026-06-21,SKU050,135,0,14,67
2026-06-21,SKU051,34,59,7,57
2026-06-21,SKU052,113,0,28,59
2026-06-21,SKU053,279,0,28,113
2026-06-21,SKU054,107,0,28,60
2026-06-21,SKU055,47,0,21,25
2026-06-21,SKU056,636,0,21,226
2026-06-21,SKU057,6,0,21,40
2026-06-21,SKU058,69,0,28,26
2026-06-21,SKU059,41,0,7,18
2026-06-21,SKU060,415,0,21,52
2026-06-21,SKU061,34,0,21,67
2026-06-21,SKU062,176,0,21,66
2026-06-21,SKU063,94,0,7,33
2026-06-21,SKU064,121,0,21,77
2026-06-21,SKU065,492,0,21,74
2026-06-21,SKU066,91,0,21,162
2026-06-21,SKU067,124,0,14,67
2026-06-21,SKU068,433,0,21,186
2026-06-21,SKU069,36,0,21,46
2026-06-21,SKU070,151,0,28,56
2026-06-21,SKU071,31,0,21,87
2026-06-21,SKU072,19,0,7,36
2026-06-21,SKU073,1029,0,28,218
2026-06-21,SKU074,63,0,21,40
2026-06-21,SKU075,116,0,14,50
2026-06-21,SKU076,4,17,14,20
2026-06-21,SKU077,7,11,7,13
2026-06-21,SKU078,82,0,28,33
2026-06-21,SKU079,71,0,7,40
2026-06-21,SKU080,151,0,28,65
2026-06-21,SKU081,20,47,21,37
2026-06-21,SKU082,90,0,14,35
2026-06-21,SKU083,17,0,7,6
2026-06-21,SKU084,28,83,21,68
2026-06-21,SKU085,11,45,7,59
2026-06-21,SKU086,174,0,28,106
2026-06-21,SKU087,589,0,21,102
2026-06-21,SKU088,112,0,28,239
2026-06-21,SKU089,374,0,14,241
2026-06-21,SKU090,212,0,14,43
2026-06-21,SKU091,6,0,7,55
2026-06-21,SKU092,64,106,14,88
2026-06-21,SKU093,21,0,14,12
2026-06-21,SKU094,392,0,21,138
2026-06-21,SKU095,141,274,28,238
2026-06-21,SKU096,427,0,28,88
2026-06-21,SKU097,132,0,28,262
2026-06-21,SKU098,113,0,28,62
2026-06-21,SKU099,55,0,21,32
2026-06-21,SKU100,51,0,21,32
2026-06-21,SKU101,88,0,21,43
2026-06-21,SKU102,37,0,14,116
2026-06-21,SKU103,629,0,28,142
2026-06-21,SKU104,89,0,28,40
2026-06-21,SKU105,240,0,21,85
2026-06-21,SKU106,22,0,28,40
2026-06-21,SKU107,80,0,7,18
2026-06-21,SKU108,14,0,28,47
2026-06-21,SKU109,96,0,7,13
2026-06-21,SKU110,32,0,28,315
2026-06-21,SKU111,18,0,7,7
2026-06-21,SKU112,7,78,21,57
2026-06-21,SKU113,12,0,14,23
2026-06-21,SKU114,4,0,14,23
2026-06-21,SKU115,24,64,14,72
2026-06-21,SKU116,41,0,7,14
2026-06-21,SKU117,112,0,7,16
2026-06-21,SKU118,256,0,14,147
2026-06-21,SKU119,339,0,14,129
2026-06-21,SKU120,366,0,14,53
2026-06-21,SKU121,144,0,28,68
2026-06-21,SKU122,173,0,21,67
2026-06-21,SKU123,15,0,7,10
2026-06-21,SKU124,10,51,14,47
2026-06-21,SKU125,71,0,14,29
2026-06-21,SKU126,47,0,7,20
2026-06-21,SKU127,1308,0,28,198
2026-06-21,SKU128,14,38,7,44
2026-06-21,SKU129,127,0,21,49
2026-06-21,SKU130,194,0,7,33
2026-06-21,SKU131,109,0,14,38
2026-06-21,SKU132,180,0,7,61
2026-06-21,SKU133,214,0,21,81
2026-06-21,SKU134,142,0,28,92
2026-06-21,SKU135,73,0,21,33
2026-06-21,SKU136,80,0,28,43
2026-06-21,SKU137,547,0,21,210
2026-06-21,SKU138,28,50,21,39
2026-06-21,SKU139,55,0,7,29
2026-06-21,SKU140,93,0,28,49
2026-06-21,SKU141,194,0,28,90
2026-06-21,SKU142,19,36,14,34
2026-06-21,SKU143,184,0,21,77
2026-06-21,SKU144,144,0,7,76
2026-06-21,SKU145,137,0,28,59
2026-06-21,SKU146,172,0,14,83
2026-06-21,SKU147,7,0,21,43
2026-06-21,SKU148,7,0,21,34
2026-06-21,SKU149,75,0,7,45
2026-06-21,SKU150,40,0,7,20
2026-06-21,SKU151,131,0,21,55
2026-06-21,SKU152,171,0,14,58
2026-06-21,SKU153,153,0,28,76
2026-06-21,SKU154,224,0,28,78
2026-06-21,SKU155,51,93,14,72
2026-06-21,SKU156,186,0,28,110
2026-06-21,SKU157,118,0,21,60
2026-06-21,SKU158,421,0,28,164
2026-06-21,SKU159,67,0,21,33
2026-06-21,SKU160,267,0,14,112
2026-06-21,SKU161,56,0,7,19
2026-06-21,SKU162,184,0,28,78
2026-06-21,SKU163,15,0,21,143
2026-06-21,SKU164,106,0,21,50
2026-06-21,SKU165,119,0,21,65
2026-06-21,SKU166,298,0,21,138
2026-06-21,SKU167,11,0,7,6
2026-06-21,SKU168,21,0,21,109
2026-06-21,SKU169,234,0,28,46
2026-06-21,SKU170,93,0,28,46
2026-06-21,SKU171,86,0,28,208
2026-06-21,SKU172,11,0,14,21
2026-06-21,SKU173,8,0,14,16
2026-06-21,SKU174,94,254,28,169
2026-06-21,SKU175,200,0,14,92
2026-06-21,SKU176,272,0,28,161
2026-06-21,SKU177,19,31,14,30
2026-06-21,SKU178,10,51,28,47
2026-06-21,SKU179,45,0,7,22
2026-06-21,SKU180,89,0,14,40
2026-06-21,SKU181,2,0,14,26
2026-06-21,SKU182,25,0,21,35
2026-06-21,SKU183,167,0,14,87
2026-06-21,SKU184,67,0,28,35
2026-06-21,SKU185,233,0,28,103
2026-06-21,SKU186,616,0,28,303
2026-06-21,SKU187,347,0,28,178
2026-06-21,SKU188,72,0,14,32
2026-06-21,SKU189,63,0,28,25
2026-06-21,SKU190,678,0,21,231
2026-06-21,SKU191,77,0,14,35
2026-06-21,SKU192,43,0,14,21
2026-06-21,SKU193,11,0,21,31
2026-06-21,SKU194,10,0,7,18
2026-06-21,SKU195,80,0,14,31
2026-06-21,SKU196,123,0,14,59
2026-06-21,SKU197,211,0,7,78
2026-06-21,SKU198,216,0,21,93
2026-06-21,SKU199,13,0,14,41
2026-06-21,SKU200,75,0,28,49
