sku_id,date,promo_flag,units_sold,unit_price,revenue
SKU007,2024-06-01,0,1.0,2739.0,2739.0
SKU008,2024-06-01,0,1.0,2749.0,2749.0
SKU011,2024-06-01,0,2.0,839.0,1678.0
SKU012,2024-06-01,0,4.0,1589.0,6356.0
SKU018,2024-06-01,0,1.0,1569.0,1569.0
SKU020,2024-06-01,0,4.0,2229.0,8916.0
SKU021,2024-06-01,0,0.0,4929.0,0.0
SKU031,2024-06-01,0,2.0,4359.0,8718.0
SKU034,2024-06-01,0,1.0,759.0,759.0
SKU036,2024-06-01,0,0.0,2699.0,0.0
SKU038,2024-06-01,0,1.0,3079.0,3079.0
SKU042,2024-06-01,0,14.0,3659.0,51226.0
SKU045,2024-06-01,0,2.0,3349.0,6698.0
SKU046,2024-06-01,0,3.0,3389.0,10167.0
SKU047,2024-06-01,0,2.0,4059.0,8118.0
SKU050,2024-06-01,0,5.0,3749.0,18745.0
SKU054,2024-06-01,0,6.0,729.0,4374.0
SKU059,2024-06-01,0,1.0,2339.0,2339.0
SKU063,2024-06-01,0,3.0,4599.0,13797.0
SKU064,2024-06-01,0,3.0,1959.0,5877.0
SKU065,2024-06-01,0,4.0,2229.0,8916.0
SKU069,2024-06-01,0,6.0,1369.0,8214.0
SKU070,2024-06-01,0,1.0,4849.0,4849.0
SKU073,2024-06-01,0,9.0,4349.0,39141.0
SKU076,2024-06-01,0,1.0,3129.0,3129.0
SKU079,2024-06-01,0,8.0,1279.0,10232.0
SKU080,2024-06-01,0,1.0,919.0,919.0
SKU085,2024-06-01,0,3.0,1049.0,3147.0
SKU086,2024-06-01,0,0.0,4159.0,0.0
SKU091,2024-06-01,0,6.0,2999.0,17994.0
SKU095,2024-06-01,0,7.0,949.0,6643.0
SKU103,2024-06-01,0,4.0,4389.0,17556.0
SKU104,2024-06-01,0,2.0,2249.0,4498.0
SKU106,2024-06-01,0,0.0,1599.0,0.0
SKU107,2024-06-01,0,0.0,2249.0,0.0
SKU110,2024-06-01,0,9.0,649.0,5841.0
SKU111,2024-06-01,0,1.0,3659.0,3659.0
SKU118,2024-06-01,0,11.0,4529.0,49819.0
SKU120,2024-06-01,0,5.0,3739.0,18695.0
SKU122,2024-06-01,0,2.0,4229.0,8458.0
SKU126,2024-06-01,0,2.0,1779.0,3558.0
SKU127,2024-06-01,0,3.0,2849.0,8547.0
SKU135,2024-06-01,0,4.0,2279.0,9116.0
SKU136,2024-06-01,0,1.0,4939.0,4939.0
SKU137,2024-06-01,0,9.0,1519.0,13671.0
SKU152,2024-06-01,0,7.0,299.0,2093.0
SKU153,2024-06-01,0,1.0,4029.0,4029.0
SKU155,2024-06-01,0,7.0,4919.0,34433.0
SKU158,2024-06-01,0,5.0,299.0,1495.0
SKU163,2024-06-01,0,3.0,2159.0,6477.0
SKU168,2024-06-01,0,0.0,499.0,0.0
SKU170,2024-06-01,0,3.0,4279.0,12837.0
SKU182,2024-06-01,0,1.0,969.0,969.0
SKU184,2024-06-01,0,1.0,4199.0,4199.0
SKU186,2024-06-01,0,7.0,4369.0,30583.0
SKU188,2024-06-01,0,2.0,1689.0,3378.0
SKU193,2024-06-01,0,0.0,4659.0,0.0
SKU196,2024-06-01,0,2.0,2289.0,4578.0
SKU197,2024-06-01,0,8.0,3129.0,25032.0
SKU198,2024-06-01,0,5.0,3919.0,19595.0
SKU199,2024-06-01,0,4.0,3439.0,13756.0
SKU200,2024-06-01,0,2.0,2819.0,5638.0
SKU007,2024-06-02,0,0.0,2739.0,0.0
SKU008,2024-06-02,0,1.0,2749.0,2749.0
